store_type,store,owned/rented,own_rent,city,rating,address,total_sqft,employees,programs,programs_val,Dpmo
Lifestyle Store,5,owned,1,Gurgaon,5,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",36125,5,Locker,3,8
Movie theater,6,owned,1,Gurgaon,5,"271/1, Dr Hira Singh Rd, Maya Nagar, Ludhiana, Punjab 141001",19890,6,Locker,3,95
Movie theater,6,owned,1,CP,4,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",18234,4,3P,1,50
Restraunt,7,rented,2,Noida,5,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",23413,14,Locker,3,3
Movie theater,6,owned,1,Dwarka,3,"SCO 219 36 D, Chandigarh, 160036",1527,10,Helix,4,12
Bank,1,rented,2,Ghaziabad,1,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",36125,14,Locker,3,13
Grocery,3,owned,1,Pune,5,"Plot No. 301, 1, Vaddy, Siolim, Goa 403517",23413,10,3P,1,95
Departmental Store,2,owned,1,Mumbai,1,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",2309,41,Locker,3,89
Grocery,3,owned,1,Dwarka,3,"Subhash Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",11000,7,3P,1,16
Restraunt,7,owned,1,Dwarka,2,"Shop No, 225, Rani Jhansi Rd, Mall Enclave, Civil Lines, Ludhiana, Punjab 141001",7875,12,Locker,3,82
Bank,1,owned,1,Gurgaon,2,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",2141,8,Locker,3,20
Lifestyle Store,5,rented,2,Ghaziabad,2,"4N Block, Srirampura, Bengaluru, Karnataka 560021",15000,11,Locker,3,23
Gym,4,owned,1,Gurgaon,3,"Gurdev Nagar Silver Arc Mall, 3rd &5th floor, Gurdev Nagar, Ludhiana, Punjab 141001",23452,6,IHS,2,20
Gym,4,owned,1,Pune,2,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",1200,10,Locker,3,31
Movie theater,6,rented,2,Mumbai,2,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",11000,25,Locker,3,42
Grocery,3,owned,1,Dwarka,1,"Opposite Rithala Metro Station, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi 110085",2145,18,Locker,3,32
Movie theater,6,owned,1,Mumbai,5,"Shop No.10 Goal Bagh Opp:-Railway Station, Amritsar, Punjab 143001",1800,5,Locker,3,55
Restraunt,7,rented,2,Gandhinagar,4,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",1143,3,Helix,4,13
Bank,1,owned,1,Dwarka,2,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",2800,6,3P,1,67
Bank,1,owned,1,Karol Bagh,3,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",15000,11,Locker,3,4
Restraunt,7,owned,1,Mumbai,3,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",2001,11,IHS,2,23
Grocery,3,rented,2,Mumbai,5,"Movers and Packers Gurgaon, Movers and Packers In Gurgaon Packers and Movers Gurgaon, Movers and Packers Gurgaon, Jharsa Rd, Prem Puri, Sector 32, Gurugram, Haryana 122001",1200,11,Locker,3,16
Grocery,3,owned,1,Gurgaon,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",2837,20,3P,1,56
Lifestyle Store,5,owned,1,Gandhinagar,1,"SCO-7, Basement, Boparai Complex, Ranjit Ave, Amritsar, Punjab 143001",23413,11,IHS,2,19
Movie theater,6,owned,1,Noida,1,"A-194, Okhla Industrial Area, Phase-1, Pocket C, Okhla Phase I, Okhla Industrial Area, New Delhi, Delhi 110020",4492,10,IHS,2,23
Bank,1,owned,1,Ghaziabad,1,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",18002,5,Locker,3,21
Restraunt,7,rented,2,Noida,2,address,3945,25,Locker,3,24
Departmental Store,2,rented,2,Ghaziabad,5,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",2838,3,3P,1,52
Movie theater,6,rented,2,Gandhinagar,4,"A-194, Okhla Industrial Area, Phase-1, Pocket C, Okhla Phase I, Okhla Industrial Area, New Delhi, Delhi 110020",1514,10,Locker,3,12
Movie theater,6,rented,2,Gurgaon,3,"Kanchanjunga Towers, Behind double tree by Hilton, Near, 122011, Sector 56, Gurugram, Haryana 122011",1527,25,Locker,3,95
Restraunt,7,owned,1,Mumbai,3,"No 92, Appu Rao Road, 6Th Main, Bull Temple Rd, Raghavendra Colony, Chamrajpet, Bengaluru, Karnataka 560019",1830,3,3P,1,32
Gym,4,owned,1,Chandigarh,2,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",2050,10,IHS,2,45
Grocery,3,owned,1,Gurgaon,3,"SCO 219 36 D, Chandigarh, 160036",30875,12,Locker,3,16
Grocery,3,owned,1,Noida,3,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",1800,14,Helix,4,13
Gym,4,owned,1,Chandigarh,2,"271/1, Dr Hira Singh Rd, Maya Nagar, Ludhiana, Punjab 141001",24900,11,3P,1,16
Movie theater,6,owned,1,Gurgaon,3,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",1800,11,3P,1,31
Movie theater,6,rented,2,Ghaziabad,2,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",1234,10,Locker,3,50
Gym,4,owned,1,Mumbai,3,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",6105,4,Locker,3,14
Gym,4,owned,1,Gurgaon,3,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",2750,5,IHS,2,45
Bank,1,rented,2,Jalandar,2,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",1200,4,3P,1,4
Grocery,3,owned,1,Dwarka,2,"Reliance MediaWorks Ltd, Ansal Plaza, 3rd, G Block, Palam Vihar, Gurugram, Haryana 122017",1299,11,3P,1,65
Pharmacy,7,owned,1,Noida,4,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",3450,11,Locker,3,95
Grocery,3,rented,2,Mumbai,3,"Shop No.10 Goal Bagh Opp:-Railway Station, Amritsar, Punjab 143001",7270,25,3P,1,45
Pharmacy,7,owned,1,CP,5,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",2837,10,Locker,3,50
Bank,1,owned,1,Ghaziabad,5,"Mathura Rd, Opposite Mohan Estata Metro Station, Delhi Metro Housing Complex, Ali Extension, Madanpur Khadar, New Delhi, Delhi 110076",18002,25,Locker,3,72
Gym,4,rented,2,Ghaziabad,3,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",2001,8,Locker,3,95
Pharmacy,7,owned,1,CP,4,"SCO 219 36 D, Chandigarh, 160036",11000,10,Locker,3,50
Pharmacy,7,owned,1,Pune,5,"251, Sector 37A, Sector 37, Chandigarh, 160036",23413,11,Locker,3,14
Movie theater,6,owned,1,CP,5,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",7275,12,3P,1,50
Departmental Store,2,owned,1,Gandhinagar,3,"Booth No 7, Madhya Marg, Near SCO No 17, Sector 7C, Chandigarh, 160001",18002,3,Locker,3,59
Movie theater,6,owned,1,Noida,3,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",1200,11,3P,1,55
Departmental Store,2,owned,1,Noida,2,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",1200,15,3P,1,95
Movie theater,6,owned,1,Gurgaon,2,"No 92, Appu Rao Road, 6Th Main, Bull Temple Rd, Raghavendra Colony, Chamrajpet, Bengaluru, Karnataka 560019",12983,20,IHS,2,8
Movie theater,6,owned,1,Dwarka,5,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",1800,10,3P,1,12
Gym,4,owned,1,CP,1,"E/1-282, Gauravaddo, Calangute, Goa 403516",19890,10,3P,1,27
Grocery,3,owned,1,Gurgaon,3,"Goa Mall MALL DE GOA NH66 PORVORIM, PILEME, Porvorim, Pilerne, Goa 403501",1100,12,Locker,3,55
Restraunt,7,owned,1,Dwarka,3,"Sasthamangalam Shree Dhanya Apex 31/747 Sasthamangalam Opp Alibaba And Dishes Sreedhanya Homes, Thiruvananthapuram, Kerala 695010",1200,30,IHS,2,32
Bank,1,owned,1,CP,3,"Opposite Rithala Metro Station, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi 110085",18002,10,Locker,3,4
Bank,1,rented,2,Noida,3,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",7875,4,3P,1,13
Departmental Store,2,rented,2,CP,5,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",2092,3,IHS,2,10
Departmental Store,2,owned,1,Noida,2,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",12983,8,3P,1,54
Departmental Store,2,rented,2,Jalandar,5,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",2905,8,Helix,4,8
Bank,1,rented,2,CP,3,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",1660,12,IHS,2,21
Restraunt,7,owned,1,Dwarka,3,"9A, Rohtas Pandit House, Shahnajaf Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",18002,10,3P,1,24
Pharmacy,7,owned,1,Chandigarh,2,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",18002,10,3P,1,23
Bank,1,owned,1,Mumbai,1,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",1899,3,3P,1,24
Pharmacy,7,rented,2,Gurgaon,5,"Rakh Bagh, Koh - E - Fiza, Ludhiana, Punjab 141001",2800,11,Locker,3,16
Movie theater,6,owned,1,Karol Bagh,2,"ground Floor, plot no New Plaza Marker, Gurgaon, 15, Sector 14, Gurugram, Haryana 122001",2838,3,3P,1,32
Movie theater,6,owned,1,Nagpur,3,"Royal Calcutta Golf Club, Prince Golam Mohammad Shah Rd, Golf Gardens, Tollygunge, Kolkata, West Bengal 700095",1800,11,IHS,2,8
Departmental Store,2,owned,1,Dwarka,4,"E/1-282, Gauravaddo, Calangute, Goa 403516",18002,12,3P,1,45
Restraunt,7,owned,1,Karol Bagh,3,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",20002,11,Locker,3,55
Restraunt,7,owned,1,Mumbai,3,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",19890,10,3P,1,50
Movie theater,6,owned,1,Gurgaon,3,"Mathura Rd, Opposite Mohan Estata Metro Station, Delhi Metro Housing Complex, Ali Extension, Madanpur Khadar, New Delhi, Delhi 110076",2837,10,3P,1,8
Departmental Store,2,owned,1,Noida,1,"Mathura Rd, Opposite Mohan Estata Metro Station, Delhi Metro Housing Complex, Ali Extension, Madanpur Khadar, New Delhi, Delhi 110076",5690,14,3P,1,4
Restraunt,7,owned,1,Noida,4,"Market Junction, Athirampuzha Rd, Athirampuzha, Kottayam, Kerala 686562",6390,10,IHS,2,16
Movie theater,6,owned,1,Mumbai,3,"Sasthamangalam Shree Dhanya Apex 31/747 Sasthamangalam Opp Alibaba And Dishes Sreedhanya Homes, Thiruvananthapuram, Kerala 695010",1200,11,Locker,3,55
Pharmacy,7,rented,2,Noida,1,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",18002,5,Locker,3,50
Movie theater,6,owned,1,Dwarka,1,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",10000,11,3P,1,80
Movie theater,6,rented,2,Ghaziabad,4,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",11000,10,IHS,2,3
Movie theater,6,rented,2,Ghaziabad,5,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",15600,14,3P,1,32
Movie theater,6,owned,1,CP,5,"Opposite Rithala Metro Station, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi 110085",4219,5,Locker,3,95
Bank,1,owned,1,Ahemdabad,3,"E/1-282, Gauravaddo, Calangute, Goa 403516",10638,12,IHS,2,20
Gym,4,owned,1,Gurgaon,3,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",7270,11,Locker,3,55
Gym,4,owned,1,Gandhinagar,5,"B3, Lower Ground Floor, Jewel Square Mall, Koregaon Park, Pune, Maharashtra 411001",24900,12,Locker,3,59
Pharmacy,7,owned,1,Mumbai,4,"66 d, Beauty Avenue, Amritsar, Punjab 143104",9431,9,Locker,3,10
Grocery,3,owned,1,CP,4,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",6105,3,IHS,2,95
Pharmacy,7,owned,1,CP,3,"SN 85, Kala Niketan, The Mall Rd, Nr Minerva Hotel, Shimla, Himachal Pradesh 171001",4219,7,3P,1,16
Lifestyle Store,5,owned,1,Gandhinagar,5,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",7270,7,Helix,4,90
Pharmacy,7,owned,1,Noida,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",47425,11,IHS,2,4
Gym,4,owned,1,Mumbai,5,"6, New Market, Totu, Shimla, Himachal Pradesh 171011",23413,8,IHS,2,45
Movie theater,6,owned,1,Ghaziabad,3,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",1200,25,3P,1,8
Grocery,3,owned,1,Noida,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",35000,10,Locker,3,72
Pharmacy,7,owned,1,Nagpur,1,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",2837,4,Locker,3,45
Lifestyle Store,5,owned,1,CP,3,"No 92, Appu Rao Road, 6Th Main, Bull Temple Rd, Raghavendra Colony, Chamrajpet, Bengaluru, Karnataka 560019",15000,12,Locker,3,34
Movie theater,6,rented,2,Dwarka,3,"SCO 219 36 D, Chandigarh, 160036",23413,25,3P,1,23
Departmental Store,2,owned,1,CP,3,"Nallakunta, 1-8-703 TO712, Alekya Residency,, Nallakunta University Road, Nallakunta, Hyderabad, Hyderabad, 500044",1200,20,Locker,3,45
Departmental Store,2,owned,1,Dwarka,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",2141,3,IHS,2,24
Bank,1,owned,1,Gurgaon,2,"251, Sector 37A, Sector 37, Chandigarh, 160036",23413,5,IHS,2,23
Pharmacy,7,owned,1,Mumbai,5,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",7870,25,Helix,4,45
Pharmacy,7,owned,1,Gandhinagar,1,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",11000,10,3P,1,45
Pharmacy,7,rented,2,Ghaziabad,4,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",35000,10,3P,1,45
Grocery,3,owned,1,Amritsar,4,"Sasthamangalam Shree Dhanya Apex 31/747 Sasthamangalam Opp Alibaba And Dishes Sreedhanya Homes, Thiruvananthapuram, Kerala 695010",23413,10,3P,1,45
Grocery,3,owned,1,Dwarka,3,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",1299,11,IHS,2,8
Movie theater,6,owned,1,Chandigarh,4,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",18234,11,3P,1,43
Bank,1,rented,2,Mumbai,3,"Near Garden Cafe, Edappally - Pukkattupady Rd, Edappally Toll, Unnichira, Koonamthai, Edappally, Ernakulam, Kerala 682024",7669,10,IHS,2,3
Bank,1,owned,1,CP,5,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",23413,14,IHS,2,50
Pharmacy,7,owned,1,Noida,3,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",15000,11,Helix,4,8
Departmental Store,2,owned,1,Noida,3,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",23413,30,Locker,3,81
Movie theater,6,rented,2,Ahemdabad,3,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",5690,10,Locker,3,20
Grocery,3,owned,1,Dwarka,3,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",11000,20,Locker,3,31
Bank,1,owned,1,Noida,5,"Court, Labour Court Building, Top Floor Old Railway Road, Near District, Gurugram, Haryana 122001",74767,6,Locker,3,95
Departmental Store,2,rented,2,Mumbai,3,"Himalaya Marg, Kajheri Village, Sector 52, Chandigarh, 160056",74318.4,3,IHS,2,4
Restraunt,7,owned,1,Gurgaon,3,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",23452,3,Locker,3,89
Grocery,3,owned,1,Lucknow,3,"6, New Market, Totu, Shimla, Himachal Pradesh 171011",2837,10,IHS,2,52
Grocery,3,owned,1,Dwarka,3,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",11000,20,Locker,3,55
Restraunt,7,owned,1,Chandigarh,4,"66 d, Beauty Avenue, Amritsar, Punjab 143104",2837,3,Locker,3,3
Gym,4,rented,2,Noida,3,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",11000,11,IHS,2,54
Lifestyle Store,5,rented,2,Gurgaon,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",10000,5,3P,1,90
Bank,1,rented,2,Mumbai,3,"Opposite Rithala Metro Station, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi 110085",23452,10,Locker,3,59
Lifestyle Store,5,rented,2,CP,4,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",2141,6,Locker,3,67
Lifestyle Store,5,rented,2,Mumbai,3,"SN 85, Kala Niketan, The Mall Rd, Nr Minerva Hotel, Shimla, Himachal Pradesh 171001",11000,11,Locker,3,45
Bank,1,owned,1,Gurgaon,4,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",2750,10,3P,1,45
Departmental Store,2,owned,1,Noida,2,"Gurdev Nagar Silver Arc Mall, 3rd &5th floor, Gurdev Nagar, Ludhiana, Punjab 141001",5690,25,IHS,2,3
Grocery,3,owned,1,Dwarka,3,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",1527,11,3P,1,72
Gym,4,owned,1,Mumbai,2,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",2837,4,Helix,4,16
Departmental Store,2,owned,1,Gurgaon,3,"Movers and Packers Gurgaon, Movers and Packers In Gurgaon Packers and Movers Gurgaon, Movers and Packers Gurgaon, Jharsa Rd, Prem Puri, Sector 32, Gurugram, Haryana 122001",11000,25,3P,1,54
Pharmacy,7,owned,1,Chandigarh,3,"Booth No 7, Madhya Marg, Near SCO No 17, Sector 7C, Chandigarh, 160001",18002,11,3P,1,90
Bank,1,rented,2,Noida,3,"Subhash Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",1200,12,Locker,3,56
