store_type,availability,location,rating  ,society,total_sqft,employees ,programs,programs_val,Dpmo
Super Market,Ready To Move,Jai Bheema Nagar,3,ShshaSa,4000,34,Locker,3,3
Drug Store,Ready To Move,Kothannur,2,,31625,3,IHS,2,29
General Store,Ready To Move,Electronic City Phase II,2,Skarkev,35650,18,Locker,3,54
Super Market,Ready To Move,Nagarbhavi,4,,28125,43,Helix,4,24
Super Market,Ready To Move,7th Phase JP Nagar,2,Coomee ,10980,47,IHS,2,58
Super Market,Ready To Move,Yelahanka,4,,9432,41,Locker,3,68
General Store,Ready To Move,Amblipura,2,,62500,2,Locker,3,2
General Store,Ready To Move,Malleshwaram,1,Roima A,27000,5,3P,1,39
Drug Store,Ready To Move,Jalahalli,2,,10000,5,Locker,3,23
Super Market,Ready To Move,Haralur Road,4,Diacee ,13500,11,IHS,2,94
Super Market,Ready To Move,Nagarbhavi,1,Prtanha,8000,43,IHS,2,89
Super Market,Ready To Move,Marathahalli,2,,12240,10,Helix,4,91
Super Market,Ready To Move,Jakkur,3,Srntsha,43200,24,IHS,2,70
General Store,Ready To Move,Uttarahalli,2,Viaree ,29700,1,Locker,3,38
General Store,Ready To Move,Electronic City,2,,31500,9,Locker,3,94
Drug Store,Ready To Move,Reliaable Tranquil Layout,2,,44000,7,Locker,3,17
Drug Store,Ready To Move,Vittasandra,3,,10200,6,3P,1,75
Super Market,Ready To Move,Electronic City,1,Soitya ,25500,26,IHS,2,81
Super Market,Ready To Move,Jigani,3,RatosAr,14400,41,Locker,3,30
Super Market,Ready To Move,Domlur,3,Visom B,16200,1,IHS,2,84
Drug Store,Ready To Move,Bellandur,2,KrodsNo,30000,0,3P,1,29
General Store,Ready To Move,Hebbal,2,Sriseva,5850,3,Locker,3,23
Super Market,Ready To Move,Divya Unnathi Layout,3,SNity S,42000,45,Locker,3,11
General Store,Ready To Move,Hormavu,2,Viony H,23500,10,IHS,2,9
Super Market,43973,Kodigehalli,3,SoineC ,8000,16,IHS,2,70
Super Market,Ready To Move,7th Phase JP Nagar,5,Inasy E,15000,28,IHS,2,62
General Store,43848,VHBCS Layout,2,Soresea,27050,14,Locker,3,53
General Store,Ready To Move,Poorna Pragna Layout,3,Asuilnc,104250,18,Locker,3,27
Super Market,44061,Sarjapur  Road,2,Saesttt,40000,26,IHS,2,29
Super Market,Ready To Move,Upadhyaya Layout,3,LeDuvMy,#VALUE!,44,IHS,2,50
Drug Store,Ready To Move,Bannerghatta Road,2,,42500,5,Locker,3,52
Super Market,Ready To Move,Doddakammanahalli,3,DSgmax ,33750,23,IHS,2,51
General Store,Ready To Move,Kadugodi,3,,31725,15,IHS,2,86
Super Market,43969,Channasandra Layout,3,Shestut,32550,17,IHS,2,44
Super Market,Ready To Move,Bisuvanahalli,3,Srire S,12000,27,IHS,2,45
General Store,Ready To Move,Seetharampalya,3,Tenceen,27000,12,IHS,2,94
General Store,Ready To Move,Bharathi Nagar,3,Assha A,12000,4,IHS,2,91
Super Market,Ready To Move,Yelahanka,3,,36250,7,IHS,2,62
Drug Store,43969,Sarjapur  Road,3,,37350,6,Helix,4,86
Drug Store,44153,Gaurava Nagar,5,,24000,8,IHS,2,15
Super Market,Ready To Move,Nandini Layout,2,ChodsGr,45000,9,Locker,3,27
Super Market,Ready To Move,Dasarahalli,3,SKvanin,41250,2,IHS,2,23
Super Market,44183,Naganathapura,1,Klark L,11700,12,Helix,4,67
Super Market,Ready To Move,Hal old airport road,3,Prtanha,32500,28,IHS,2,14
Super Market,Ready To Move,Jakkur,3,Brglede,30560,24,IHS,2,55
Super Market,Ready To Move,Banashankari Stage II,2,Apitea ,24000,31,IHS,2,63
Drug Store,Ready To Move,Yelahanka,2,,29850,9,IHS,2,13
General Store,Ready To Move,Haralur Road,2,Neagar ,31725,3,Locker,3,60
Super Market,44186,Kanakpura Road,1,Bhe 2ko,8865,24,IHS,2,100
Drug Store,Ready To Move,Whitefield,3,,37200,4,IHS,2,2
store_type,availability,HRBR Layout,2,society,4500,16,IHS,2,47
Super Market,44092,Arekere,8,DSnjh S,39875,39,Locker,3,14
Drug Store,Ready To Move,Whitefield,4,,16000,4,Locker,3,26
General Store,44185,Kothanur,6,,6000,16,IHS,2,13
General Store,Ready To Move,Shivanagar,5,,87500,13,IHS,2,55
Super Market,Ready To Move,Kothannur,3,Maerar ,19000,40,IHS,2,94
General Store,Ready To Move,Bommasandra Industrial Area,3,Malowr ,26875,17,IHS,2,52
Super Market,Ready To Move,Suraksha Nagar,3,,34000,1,IHS,2,43
General Store,Ready To Move,Hulimavu,4,Thuse F,22500,9,IHS,2,57
Super Market,44153,Kammasandra,3,Bhe 2ko,87600,20,IHS,2,81
General Store,44183,Kodigehaali,3,,25000,4,Locker,3,92
Drug Store,Ready To Move,Kaikondrahalli,3,,83900,8,Locker,3,76
General Store,Ready To Move,Gulakamale,2,Vithm R,16725,17,IHS,2,28
Super Market,Ready To Move,Sarjapur  Road,2,MItatHa,25200,25,Locker,3,80
Super Market,Ready To Move,Gidada Konnenahalli,6,Sastaat,25600,47,Helix,4,60
Super Market,Ready To Move,Electronic City Phase II,3,Bhmesy ,30325,2,Locker,3,6
General Store,Ready To Move,Kenchenahalli,2,GMown E,72525,17,3P,1,10
Super Market,Ready To Move,Whitefield,2,,10000,8,Locker,3,23
General Store,Ready To Move,Channasandra,2,,24000,1,IHS,2,21
Drug Store,Ready To Move,Victoria Layout,3,Stndeil,16830,9,Helix,4,83
Super Market,Ready To Move,Electronic City,2,SaireSa,57225,48,Locker,3,72
Super Market,Ready To Move,Indira Nagar,5,,16250,29,IHS,2,86
Super Market,44000,Sanjay nagar,3,,26025,8,Locker,3,45
Super Market,Ready To Move,Kadugodi,2,GrrvaGr,#VALUE!,21,Locker,3,55
Super Market,Ready To Move,Jigani,3,Aklia R,18000,19,Locker,3,65
Super Market,Ready To Move,Rachenahalli,3,Hahtsya,35625,44,IHS,2,65
Super Market,Ready To Move,Chandapura,3,Neestna,7500,0,Helix,4,50
Drug Store,Ready To Move,Yelahanka,2,,23425,4,Helix,4,100
Super Market,44061,RBI Layout,3,Sanzaat,40000,36,Locker,3,56
General Store,Ready To Move,Haralur Road,2,Chpana ,25000,1,IHS,2,10
General Store,Ready To Move,Electronics City Phase 1,2,VeSkyva,12000,16,Helix,4,18
Super Market,Ready To Move,CV Raman Nagar,2,,25500,6,Locker,3,53
Super Market,44001,Tigalarpalya,3,Pae 2ov,10674,48,Helix,4,31
Super Market,Ready To Move,Sarjapur  Road,3,Pao 3ow,95000,31,IHS,2,99
Super Market,Ready To Move,Hoodi,2,,31500,23,IHS,2,88
Super Market,44093,Bennigana Halli,3,Soazak ,24000,33,3P,1,94
General Store,Ready To Move,Kanakpura Road,3,,25900,3,Locker,3,35
Super Market,44061,Banagiri Nagar,6,Vrenty ,18460,19,IHS,2,22
Super Market,Ready To Move,Uttarahalli,3,GrrvaGr,56250,43,Locker,3,67
General Store,Ready To Move,Kudlu,3,,32875,3,Locker,3,100
General Store,Ready To Move,Kundalahalli Colony,3,,11835,18,IHS,2,28
General Store,Ready To Move,MLA Layout,2,Esale O,97500,10,IHS,2,68
Super Market,43939,Raja Rajeshwari Nagar,2,Prionad,29375,22,Helix,4,19
Super Market,Ready To Move,Ashwathnagar,3,MenueNo,30250,13,Locker,3,28
Super Market,Ready To Move,Lal Bahadur Shastri Nagar,3,SNity S,27500,48,Helix,4,39
Super Market,Ready To Move,Sampigehalli,3,,17100,30,3P,1,51
Super Market,44183,Banashankari,9,Prtates,10000,2,Locker,3,73
Super Market,Ready To Move,Hosur Road,2,,30000,18,IHS,2,69
Drug Store,Ready To Move,Thigalarapalya,3,,29700,9,Locker,3,4
Drug Store,Ready To Move,8th Phase JP Nagar,3,,13125,5,IHS,2,94
Super Market,Ready To Move,Rachenahalli,2,,#VALUE!,25,3P,1,11
Super Market,Ready To Move,Shikaripalya,3,,63000,19,Locker,3,76
Super Market,44030,Singapura Village,4,,32750,24,3P,1,97
Super Market,Ready To Move,Amruthnagar,2,SodilDa,#VALUE!,46,3P,1,58
General Store,44029,KR Puram,2,GMown E,12000,19,Locker,3,89
Super Market,Ready To Move,Begur,3,,10629,18,IHS,2,61
Drug Store,Ready To Move,Raja Rajeshwari Nagar,2,,38525,2,3P,1,37
Super Market,Ready To Move,Jigani,2,Saitya ,40375,41,Locker,3,14
General Store,Ready To Move,Sarjapur  Road,3,Prncyrn,52800,7,IHS,2,4
Super Market,Ready To Move,Kudlu Gate,2,,33875,44,IHS,2,93
Super Market,44061,Magadi Road,2,,31375,6,IHS,2,16
Super Market,Ready To Move,Thanisandra,3,ShshaSa,12000,0,IHS,2,97
Drug Store,Ready To Move,Kengeri,1,,31375,8,IHS,2,38
Super Market,Ready To Move,Seegehalli,3,AjityIn,36875,20,Locker,3,3
Super Market,Ready To Move,Chellikere,2,MBpleca,31100,7,IHS,2,15
Drug Store,Ready To Move,Electronic City Phase II,2,,98500,5,Helix,4,13
Drug Store,Ready To Move,Old Madras Road,3,,43040,2,Locker,3,59
Super Market,44030,Dairy Circle,3,Prllsan,28625,38,3P,1,68
Super Market,Ready To Move,Sahakara Nagar,3,PuandHi,12600,9,3P,1,82
Drug Store,Ready To Move,Esther Enclave Layout,2,,32500,5,Helix,4,45
General Store,Ready To Move,Doddaballapur,1,Toeadp ,45475,12,IHS,2,33
Super Market,44183,Marathahalli,2,Prtates,23225,6,Helix,4,83
Super Market,Ready To Move,Vimanapura,2,Soitya ,10500,48,Locker,3,95
Drug Store,Ready To Move,Ambedkar Nagar,2,,37750,9,IHS,2,26
General Store,Ready To Move,JP Nagar,3,Sancybr,10500,10,Locker,3,25
Super Market,Ready To Move,Budigere,1,,#VALUE!,21,IHS,2,15
Super Market,Ready To Move,Bannerghatta Road,2,,24000,4,Locker,3,30
Super Market,44121,"Varthur Road, ",2,,31500,3,Locker,3,78
General Store,Ready To Move,9th Phase JP Nagar,4,,31650,6,IHS,2,95
Super Market,Ready To Move,Rajaji Nagar,2,,11745,36,Locker,3,85
Drug Store,Ready To Move,Kothanur,3,,25550,7,3P,1,22
Super Market,Ready To Move,Sarjapur  Road,2,SNity S,29375,8,IHS,2,32
Super Market,44061,Electronic City,2,,37750,20,IHS,2,59
Super Market,44186,Banaswadi,7,Bhe 2ko,12425,30,3P,1,69
Super Market,44001,Kothanur,8,Brstaue,53625,6,IHS,2,16
General Store,Ready To Move,Whitefield,2,MaionMa,36275,3,Helix,4,16
Super Market,18-May,Ganga Nagar,3,Inntsth,30750,35,3P,1,70
Drug Store,Ready To Move,Hebbal,3,,13500,4,3P,1,98
Super Market,44033,Hebbal,3,GoAirej,27625,37,3P,1,38
Super Market,Ready To Move,Subramanyapura,3,Prionad,7820,39,3P,1,63
Super Market,Ready To Move,Banagiri Nagar,3,Emine P,27150,20,IHS,2,39
Drug Store,Ready To Move,Akshaya Nagar,3,,#VALUE!,7,Locker,3,19
Super Market,Ready To Move,Electronic City,2,,37975,10,IHS,2,78
General Store,Ready To Move,Basaveshwara Nagar,2,,35625,10,IHS,2,65
Drug Store,Ready To Move,Vinayaka Nagar,2,,37225,9,Locker,3,75
Super Market,44030,Doddanekundi,2,Mamespa,11790,41,IHS,2,50
General Store,18-Jun,Balagere,2,,22500,14,3P,1,71
Super Market,44030,Gollarapalya Hosahalli,2,,15350,27,IHS,2,16
Super Market,Ready To Move,Electronics City Phase 1,2,ARntyne,39750,35,IHS,2,57
Super Market,21-Dec,Hebbal,3,,24000,45,Helix,4,50
Super Market,Ready To Move,Electronic City Phase II,3,Puestol,40000,37,Locker,3,51
Drug Store,Ready To Move,Thippasandra,1,,32750,5,IHS,2,89
General Store,Ready To Move,Peenya,3,GMown E,78750,4,Locker,3,44
Super Market,19-Dec,Sarjapur  Road,3,Ceezey ,33000,39,Locker,3,63
General Store,Ready To Move,Electronic City,2,AltesEs,23825,15,Locker,3,57
Drug Store,Ready To Move,Haralur Road,2,,33375,0,IHS,2,89
Super Market,Ready To Move,Rajaji Nagar,3,,69432.25,29,IHS,2,58
Drug Store,Ready To Move,Rajaji Nagar,5,,31150,3,Locker,3,70
Super Market,44183,Mahaganapathy Nagar,2,Vaniai ,24800,49,IHS,2,100
Super Market,43969,JP Nagar,2,Sryalan,21816,24,Helix,4,84
Super Market,Ready To Move,Yelahanka New Town,2,Goty  E,29750,36,3P,1,13
Super Market,Ready To Move,3rd Block Banashankari,4,SoystAm,15300,39,IHS,2,88
Super Market,Ready To Move,KR Puram,7,Leino C,45875,26,IHS,2,20
Super Market,Ready To Move,Amblipura,4,Shiaa S,7947,42,Locker,3,84
Super Market,Ready To Move,Sarjapur  Road,2,,31250,19,Locker,3,10
Super Market,Ready To Move,Hosur Road,2,Panorse,10800,4,Locker,3,41
Super Market,Ready To Move,2nd Block Bel Layout,3,Krite D,43680,0,Locker,3,25
General Store,44000,Cholanayakanahalli,5,,27000,18,IHS,2,34
Super Market,Ready To Move,Doddathoguru,2,,#VALUE!,38,Locker,3,6
General Store,Ready To Move,Raja Rajeshwari Nagar,3,,17361,5,Helix,4,45
Super Market,Ready To Move,Nagaraja Garden,2,AlourAr,31750,9,3P,1,27
General Store,Ready To Move,Raghavendra Nagar,2,,18900,18,Locker,3,30
Super Market,Ready To Move,Bahubali Nagar,5,MancyEl,40025,31,Locker,3,81
Super Market,44183,Hebbal,3,Koagati,25925,33,3P,1,65
Super Market,Ready To Move,Thanisandra,3,Amsomun,38500,31,IHS,2,4
Super Market,Ready To Move,Ramagondanahalli,1,Niareum,48750,16,IHS,2,10
Super Market,44093,Kanakapura,2,Srods P,11340,0,IHS,2,2
Super Market,Ready To Move,Konanakunte,2,Suavea ,27000,27,3P,1,61
Super Market,44183,Kanakapura,3,PrityFa,87400,47,IHS,2,85
Super Market,18-Jun,Whitefield,3,Soresea,44000,38,IHS,2,63
General Store,Ready To Move,Hebbal,3,Asuilnc,48000,17,Locker,3,39
Super Market,Ready To Move,Hosakerehalli,5,ETntsce,10980,14,Helix,4,95
Drug Store,Ready To Move,Yelahanka,4,,55375,0,3P,1,63
Super Market,Ready To Move,Bannerghatta Road,5,Dhndsh ,43100,4,IHS,2,8
Super Market,Ready To Move,Electronics City Phase 1,2,IBityin,35375,17,IHS,2,86
Super Market,18-Aug,Kothanur,2,,33250,48,Locker,3,1
Super Market,Ready To Move,Moodalapalya,2,SLtias ,44496,18,3P,1,10
Drug Store,Ready To Move,Mahalakshmi Puram,4,,28500,0,Locker,3,6
Super Market,Ready To Move,T Dasarahalli,3,Shitt S,27800,26,IHS,2,23
General Store,Ready To Move,Jigani,2,,41750,0,IHS,2,13
Drug Store,Ready To Move,Belathur,2,,42125,8,Locker,3,90
General Store,Ready To Move,Kammasandra,3,V2anags,40775,8,Locker,3,11
Super Market,Ready To Move,Jalahalli,8,,34825,11,IHS,2,13
Super Market,44183,BCC Layout,4,DNionfl,44000,13,3P,1,86
Super Market,Ready To Move,Lalbagh Road,4,Brnia G,33850,28,3P,1,19
Super Market,Ready To Move,Thippasandra,4,Moity S,52650,32,Helix,4,77
General Store,Ready To Move,Sarjapur  Road,4,,19350,2,IHS,2,91
General Store,Ready To Move,TC Palaya,2,,15750,18,Locker,3,54
Super Market,Ready To Move,Kaggadasapura,2,,12000,47,3P,1,34
Super Market,Ready To Move,Kasavanhalli,3,,35250,37,IHS,2,57
Super Market,43939,Whitefield,2,,10863,42,Locker,3,76
General Store,Ready To Move,Jalahalli,3,Srntsha,13440,15,Locker,3,95
Drug Store,Ready To Move,Shantiniketan Layout,5,,42250,5,IHS,2,92
General Store,Ready To Move,Jigani,3,Prmesi ,13500,17,Helix,4,32
Super Market,Ready To Move,Kereguddadahalli,3,Tahtsla,17100,4,Locker,3,37
Super Market,Ready To Move,Whitefield,2,Mayne A,33200,6,Locker,3,73
Super Market,Ready To Move,Kundalahalli,2,SRageri,42500,3,Locker,3,71
Super Market,Ready To Move,Bank Of Baroda Colony,2,GrrvaGr,32400,26,Helix,4,96
Drug Store,Ready To Move,Banashankari Stage III,6,,37800,9,IHS,2,90
General Store,Ready To Move,Banashankari Stage V,2,Saave R,29750,5,3P,1,95
Super Market,Ready To Move,Sarjapur  Road,3,DSesthr,48450,35,Helix,4,72
Super Market,Ready To Move,Rachenahalli,2,GRhtiru,22800,31,IHS,2,95
General Store,Ready To Move,Electronic City,2,Sungsha,#VALUE!,13,Helix,4,58
General Store,Ready To Move,HAL 2nd Stage,2,SNpalaj,38300,8,Helix,4,58
Super Market,Ready To Move,Vivek Nagar,2,NianaBr,60100,46,IHS,2,48
Super Market,Ready To Move,Venkatadri Layout,1,Wiaysld,8500,32,Locker,3,70
Drug Store,Ready To Move,Hosur Road,3,,35000,0,Locker,3,56
General Store,Ready To Move,Tejaswini Nagar,3,,31075,11,IHS,2,6
Super Market,Ready To Move,Anekal,2,SLnssPr,28750,32,Locker,3,66
Super Market,Ready To Move,JP Nagar,2,Sonet G,30750,3,IHS,2,15
Super Market,Ready To Move,R.T. Nagar,3,,12000,10,IHS,2,12
General Store,Ready To Move,Hebbal Kempapura,4,,35500,12,Locker,3,2
Super Market,Ready To Move,5th Phase JP Nagar,2,RothaVa,10125,41,Locker,3,23
General Store,Ready To Move,Yeshwanthpur,2,,3960,13,IHS,2,8
General Store,Ready To Move,Jyothi Nagar,2,Saenti ,22473,18,IHS,2,74
General Store,Ready To Move,Jalahalli East,4,,29250,3,Helix,4,56
General Store,Ready To Move,Kanakpura Road,4,,45475,9,Locker,3,16
Super Market,17-Dec,Ramamurthy Nagar,1,Unris E,12000,8,IHS,2,2
General Store,Ready To Move,Kothanur,2,,7137,9,Locker,3,42
Super Market,Ready To Move,Sarjapur  Road,2,Lelia M,18000,23,IHS,2,89
Super Market,Ready To Move,Mahadevpura,3,,11430,11,Locker,3,50
General Store,Ready To Move,Jigani,2,,28875,7,3P,1,82
Drug Store,Ready To Move,Palace Road,3,NVanat ,35675,4,IHS,2,61
Super Market,Ready To Move,Mico Layout,2,SJityaz,31475,42,Locker,3,4
Super Market,Ready To Move,Haralur Road,2,Goelsn ,31350,28,IHS,2,14
General Store,Ready To Move,Abbigere,6,Soresea,9315,16,IHS,2,8
General Store,Ready To Move,Kanakpura Road,2,HIideSu,12000,17,IHS,2,88
General Store,18-Aug,Kaggadasapura,2,Sryalan,34125,2,IHS,2,34
Super Market,Ready To Move,Hagadur,2,Nillsre,40000,14,3P,1,91
General Store,Ready To Move,Thanisandra,2,Sondaka,34375,17,Locker,3,78
Super Market,Ready To Move,Basavanapura,2,Brway G,45875,22,Locker,3,3
Super Market,Ready To Move,Ankappa Layout,3,,120000,11,IHS,2,35
Super Market,Ready To Move,Mallathahalli,3,Dhalsh ,28550,11,Locker,3,31
General Store,Ready To Move,Chikkabanavar,3,AdingSV,56825,5,Locker,3,99
Drug Store,Ready To Move,Thanisandra,2,,47000,9,Locker,3,13
Super Market,18-Aug,Yelahanka New Town,2,Sanzaat,24000,28,Locker,3,18
General Store,44186,Green Glen Layout,3,,28500,8,IHS,2,12
Super Market,44122,Akshaya Nagar,3,DSapeSk,83375,34,Locker,3,50
Super Market,Ready To Move,Budigere,3,Priew P,12000,5,IHS,2,23
Super Market,Ready To Move,Coconut Grove Layout,3,Naods W,6000,10,IHS,2,83
Super Market,Ready To Move,Bannerghatta Road,3,SLaceda,7500,24,IHS,2,99
Super Market,Ready To Move,Kanakpura Road,1,,33225,18,Locker,3,19
Super Market,Ready To Move,Lakshminarayana Pura,2,ARureig,14070,31,Locker,3,93
Super Market,Ready To Move,Virat Nagar,2,BMmesHo,11250,8,IHS,2,3
Super Market,Ready To Move,Basaveshwara Nagar,5,,45000,3,Helix,4,26
Super Market,44184,Sarjapur  Road,4,Goues A,16500,48,Locker,3,70
Drug Store,Immediate Possession,Udayagiri,3,S2enste,9800,2,IHS,2,48
Super Market,44122,Mangammanapalya,3,DSnjh S,11745,17,Locker,3,2
Super Market,44000,Kamakshipalya,1,DSestma,54175,11,Locker,3,83
Super Market,Ready To Move,Volagerekallahalli,2,Malowr ,10980,48,IHS,2,39
Super Market,Ready To Move,Raja Rajeshwari Nagar,2,,16290,32,Locker,3,16
Super Market,Ready To Move,Whitefield,2,,31500,41,IHS,2,83
Super Market,44031,Bannerghatta Road,2,Soazak ,29000,36,3P,1,16
Super Market,Ready To Move,Sarjapur  Road,3,PuonsSe,45100,39,Locker,3,2
Super Market,Ready To Move,Kaval Byrasandra,2,Prtanha,26750,23,Locker,3,15
Super Market,Ready To Move,Sompura,2,ShaleSp,35450,37,Locker,3,55
General Store,Ready To Move,Kammasandra,3,DLhtsan,70000,12,IHS,2,39
Drug Store,Ready To Move,Jinkethimmanahalli,2,,12000,6,Locker,3,98
Super Market,43939,5th Phase JP Nagar,3,,16625,39,IHS,2,32
Drug Store,Ready To Move,Whitefield,4,,10500,0,Locker,3,1
Super Market,Ready To Move,Balagere,2,,13500,1,Locker,3,51
Super Market,Ready To Move,7th Phase JP Nagar,3,DLhtsen,25075,6,Locker,3,69
General Store,Ready To Move,Subramanyapura,3,,10800,7,IHS,2,13
Super Market,Ready To Move,Yelahanka New Town,2,,26875,13,Locker,3,21
Super Market,Ready To Move,Hoodi,2,ItAnuna,9720,30,Locker,3,39
Drug Store,Ready To Move,Kaggadasapura,3,,27500,1,IHS,2,81
Super Market,Ready To Move,Nagarbhavi,3,,46875,29,IHS,2,81
Super Market,Ready To Move,Gollahalli,2,,9540,42,Locker,3,28
Super Market,Ready To Move,Nagondanahalli,3,SBiewid,24000,16,IHS,2,58
Super Market,Ready To Move,Ramamurthy Nagar,2,,12000,41,Locker,3,37
Super Market,44121,Kaverappa Layout,2,Naiewre,27800,46,IHS,2,77
Super Market,Ready To Move,1st Block HRBR Layout,10,Goelsn ,33575,9,IHS,2,26
Super Market,Ready To Move,Bellandur,2,,16675,13,Helix,4,1
Super Market,Ready To Move,CHIKKATIRUPATHI,3,Brway G,18000,49,Locker,3,66
Drug Store,Ready To Move,Koramangala,3,,27100,1,IHS,2,95
Super Market,Ready To Move,manyata park,3,Miwel M,15000,10,IHS,2,24
General Store,Ready To Move,Vidyaranyapura,3,GMown E,19360,3,Helix,4,83
Drug Store,Ready To Move,Kudlu,2,,18000,3,IHS,2,24
Drug Store,Ready To Move,Kudlu,2,,22500,5,Locker,3,77
Super Market,Ready To Move,CQAL LAYOUT C BLOCK,3,Vestas ,30775,39,Helix,4,33
Super Market,Ready To Move,Canara Bank Colony,3,SPavenc,29275,12,IHS,2,52
General Store,Ready To Move,Channasandra,2,,38750,11,IHS,2,99
General Store,Ready To Move,Fraser town,6,PrinePr,13140,11,IHS,2,100
Drug Store,Ready To Move,TC Palaya,3,Sotosty,35675,8,IHS,2,49
Super Market,Ready To Move,Old Airport Road,2,GRvanun,29850,46,Locker,3,46
Super Market,43969,Kanakpura Road,3,SSdhimr,15300,27,Locker,3,49
Super Market,Ready To Move,Yelahanka,3,Neite T,36775,39,Helix,4,58
Super Market,Ready To Move,Kodichikkanahalli,3,DLhtsen,17460,8,Locker,3,82
Super Market,16-Nov,Uttarahalli,2,Prs 2hi,60375,9,IHS,2,80
General Store,Ready To Move,HBR Layout,4,Krone S,26500,10,Locker,3,20
Super Market,Ready To Move,Hegganahalli,1,,9540,2,IHS,2,92
Super Market,Ready To Move,Thanisandra,3,,33250,11,Helix,4,97
Super Market,Ready To Move,Yelahanka,2,,10350,5,IHS,2,61
Super Market,Ready To Move,Kalena Agrahara,3,PuineSu,47500,27,Locker,3,23
General Store,Ready To Move,Thubarahalli,2,,34625,9,IHS,2,67
General Store,Ready To Move,Panduranga Nagar,1,Caxusnd,26250,4,IHS,2,84
Super Market,Ready To Move,Electronic City Phase II,2,Keers S,39425,16,IHS,2,11
Super Market,44000,Whitefield,3,,46075,25,IHS,2,87
Super Market,Ready To Move,Udaya Nagar,2,,20000,26,Helix,4,46
Super Market,Ready To Move,Whitefield,3,SVdhaig,26750,17,Helix,4,34
Super Market,43970,Uttarahalli,3,G conTh,9108,4,Locker,3,92
Super Market,21-Dec,Srinivasa Nagar,5,KonteiT,29325,24,Locker,3,43
Drug Store,Ready To Move,Chandapura,1,,87900,6,IHS,2,34
